code,name
295,ILHAS CAROLINAS
296,ILHAS DO PACIFICO
297,ILHAS CHRISTMAS
298,ILHAS GILBERT
299,ILHAS HOWLAND E JARVIS
300,ILHA JOHNSTON E SAND
301,ILHAS KINGMAN REEF
302,ILHAS MACQUAIRE
303,ILHAS MARIANAS
304,ILHAS MARSHALL
305,ILHAS MACDONAL E HEARD
306,ILHAS NIUE
307,ILHAS NORFOLK
308,ILHAS PALAU
309,ILHAS SALOMAO
310,ILHAS TOKELAU
311,ILHAS WAKE
312,KALIMATAN
313,ILHAS LINHA
314,NAURU
315,ILHAS NOVA CALEDONIA
316,NOVA GUINE
317,NOVA ZELANDIA
318,ILHAS NOVAS HEBRIDAS
319,TERRITORIO DE PAPUA
320,ILHAS PASCOA
321,ILHAS PITCAIRIN
322,POLINESIA FRANCESA
323,SABAH
324,SAMOA AMERICANA
325,SAMOA OCIDENTAL
326,ILHAS SANTA CRUZ
327,SARAWAK
328,TERRITORIO DE COCOS
329,TIMOR
330,TONGA
331,TUVALU
332,ILHAS WALLIS E FUTUNA
333,"ANTARTICO BRITANICO, TERRITORIO"
334,ANTARTICA FRANCESA
335,TERR. ANTARTICO DA AUSTRALIA
336,ANTARTICO CHILENO
337,ANTARTICO ARGENTINO
338,ANTARTICO NORUEGUES
339,APATRIDA
340,DEPENDENCIA DE ROSS
341,TERRAS AUSTRAIS
342,BANGLADESH
343,CABO VERDE
344,GUINE BISSAU
345,IEMEN DO SUL
346,KARA KALPAK
347,ARMENIA
348,RUSSIA
349,SENEGAL
350,TANZANIA
351,MALAUI
352,REPÚBLICA DO SUDÃO DO SUL
353,ERITREIA
354,DOMINICA
355,"COREIA, REPUBLICA DA (COREIA DO SUL)"
356,"CONGO, REPUBLICA DO (BRAZZAVILLE)"
357,ANGUILLA
358,ILHAS CAYMAN
359,ILHAS DE GUERNSEY
360,ILHAS DE JERSEY
361,ILHAS GEORGIA DO SUL E ILHAS SANDWICH DO SUL
362,"MAYOTTE, ILHA"
363,QUIRIBATI
